Model,MSE,MAE,RMSE,R2
LinearRegression,1.372062617007285e-27,3.065281362069072e-14,3.704136359540892e-14,1.0
Huber,3.8058564080128952e-25,4.969820111000445e-13,6.169162348336195e-13,1.0
Ridge,5.497506967975313e-11,6.362925062319391e-06,7.414517494736466e-06,0.9999999999997721
PassiveAggressive,0.0025209185812514728,0.04259097931899457,0.050208750046694776,0.9999895464544754
MLPNN,0.022496008870160004,0.10826424981297401,0.14998669564384703,0.999906715332024
ElasticNet,0.03849593568415369,0.1681668731348996,0.19620381159435635,0.9998403681026512
Lasso,0.12658909974454566,0.30527076091470057,0.3557936195950479,0.9994750703466023
SVR,0.2471858096737545,0.27866715201770864,0.49717784511556273,0.9989749894607141
HistGradientBoosting,1.2909491328195113,0.9040511721344622,1.1361994247576044,0.9946467943747721
GradientBoosting,1.6039722820433076,1.0104542504143132,1.2664802730573057,0.9933487747699318
ExtraTrees,2.8379742427015304,1.317013975,1.6846288145171715,0.9882317131682014
RandomForest,4.766673334165139,1.742504908333333,2.183271246127045,0.9802339365220797
KNN,5.017121276611111,1.7906028333333333,2.239893139551776,0.9791953988289637
Bagging,6.468930147069447,2.0078869166666666,2.5434091584071656,0.9731751527832351
DecisionTree,18.140712118055554,3.4224824999999996,4.259191486427389,0.9247755316710902
AdaBoost,24.60388432865888,3.9468585442784465,4.960230269721244,0.8979745610092542
